Date,Game,Earnings,Players,Tournaments
01011998,QuakeWorld,15000,8,1
01051998,Quake II,14600,4,1
01071998,Quake II,15000,5,1
01071998,QuakeWorld,6500,4,1
01111998,Quake II,36600,13,2
01111998,QuakeWorld,22000,0,1
01111998,StarCraft: Brood War,20000,8,1
01121998,Age of Empires,2000,1,1
01031999,Quake II,15000,5,1
01041999,StarCraft: Brood War,3000,2,1
01051999,Quake II,27400,8,1
01051999,StarCraft: Brood War,27400,8,1
01081999,Descent 3,50000,1,1
01081999,StarCraft: Brood War,49498.86,9,2
01091999,StarCraft: Brood War,34666.16,15,3
01091999,Quake III Arena,16400,6,1
01101999,Quake III Arena,26800,12,1
01121999,StarCraft: Brood War,24988.82,16,4
01012000,Age of Empires II,35335.86,2,1
01012000,StarCraft: Brood War,23820.16,15,3
01022000,Quake III Arena,4000,3,1
01022000,Age of Empires II,450,5,1
01042000,Quake III Arena,110927.63,43,8
01042000,Age of Empires,9500,4,1
01042000,Age of Empires II,5015,1,1
01052000,StarCraft: Brood War,17977.49,16,1
01052000,Quake III Arena,12300,5,2
01052000,Age of Empires II,225,0,2
01062000,Quake III Arena,6970,9,2
01062000,StarCraft: Brood War,4494.37,1,1
01062000,Age of Empires II,1006.8,5,2
01072000,Quake III Arena,23170,6,2
01072000,Marvel vs. Capcom 2,0,3,1
01072000,Street Fighter Alpha 2,0,3,1
01072000,Street Fighter Alpha 3,0,3,1
01072000,Street Fighter III: 3rd Strike,0,3,1
01072000,Super Street Fighter II Turbo,0,3,1
01082000,StarCraft: Brood War,12853.9,4,1
01082000,Age of Empires II,9192,9,3
01082000,Quake III Arena,5750,3,1
01092000,Quake III Arena,52059.98,11,5
01092000,Age of Empires II,12378.11,11,3
01092000,StarCraft: Brood War,6292.12,1,2
01102000,Quake III Arena,75000,5,3
01102000,Age of Empires II,50000,4,1
01102000,FIFA 2000,50000,4,1
01102000,StarCraft: Brood War,50000,4,1
01102000,Doom II: Hell on Earth,0,3,1
01112000,StarCraft: Brood War,17600,16,1
01122000,Quake III Arena,125060.21,75,4
01122000,Counter-Strike,23763.33,62,2
01122000,Age of Empires II,165.53,5,2
01012001,Quake III Arena,19055.71,12,3
01012001,StarCraft: Brood War,5257,7,2
01012001,Counter-Strike,4720.77,35,1
01012001,Age of Empires II,1200,6,2
01022001,Quake III Arena,3750,8,1
01032001,Age of Empires II,1641.29,12,5
01042001,Counter-Strike,43711.29,41,2
01042001,Quake III Arena,2272.23,8,3
01042001,Age of Empires II,200,1,1
01052001,Quake III Arena,15841.68,16,2
01052001,Counter-Strike,13131,41,1
01052001,StarCraft: Brood War,12234.91,16,2
01052001,Age of Empires II,500,1,1
01062001,Age of Empires II,500,4,1
01072001,QuakeWorld,15000,8,1
01072001,Counter-Strike,1800,16,2
01082001,Quake III Arena,58197.36,3,2
01082001,Counter-Strike,13197.36,41,1
01082001,Age of Empires II,500,1,1
01082001,Capcom vs. SNK,0,3,1
01082001,Marvel vs. Capcom 2,0,3,1
01082001,Street Fighter Alpha 3,0,3,1
01082001,Super Street Fighter II Turbo,0,3,1
01092001,Counter-Strike,22792.51,41,1
01092001,StarCraft: Brood War,7806.4,16,1
01102001,Counter-Strike,22000,15,2
01102001,StarCraft: Brood War,13057.6,4,1
01112001,Age of Empires II,95000,16,1
01112001,Counter-Strike,5239.51,5,1
01112001,Quake III Arena,2619.76,8,1
01122001,Counter-Strike,220000,109,2
