TeamId,TeamName,TotalUSDPrize,TotalTournaments
102,Team Liquid,35877502.66,1867
419,OG,34304733.59,103
101,Evil Geniuses,24269698.79,855
118,Fnatic,15891208.88,939
185,Virtus.pro,15214274.39,517
210,Newbee,14225385.59,231
169,Vici Gaming,13161309.51,305
211,Team Secret,12108078.72,280
124,Invictus Gaming,11708690.1,507
163,Natus Vincere,11362177.4,493
227,LGD Gaming,10948410.59,145
212,Cloud9,9989260.95,766
145,SK Telecom T1,9810293.78,334
507,Wings Gaming,9745472.22,27
623,Paris Saint-Germain Esports,9480579.68,75
240,FaZe Clan,9233918.83,368
466,Astralis,8503918.81,95
231,OpTic Gaming,7903718.96,295
256,G2 Esports,7815743.02,440
196,Team SoloMid,6740008.39,626
216,Team Envy,6702419.22,364
112,SK Gaming,6515541.03,664
132,MVP,6227204.8,487
261,Alliance,5757542.15,328
111,mousesports,5430389.26,961
144,Samsung,5306802.8,353
162,Ninjas in Pyjamas,5229259.03,334
207,Counter Logic Gaming,5077193.95,445
571,Lazarus,5031313.22,262
425,NRG Esports,4971864.26,339
383,Chaos Esports Club,4935963,84
343,Royal Never Give Up,4900886.71,77
814,Gen.G,4694683.69,64
104,compLexity Gaming,4471813.23,600
561,TnC Gaming,4447050.32,58
225,EHOME,4045181.5,103
117,Team Dignitas,4020102.1,611
300,CDEC Gaming,3704903.32,52
317,Luminosity Gaming,3548357.6,268
251,Vitality,3545144.81,235
311,EDward Gaming,3456403.73,108
24687,Sentinels,3443250.68,61
663,eUnited,3365263.69,194
787,100 Thieves,3352155.35,73
24684,Cooler Esport,3300164.26,28
430,eStar Gaming,3300157.32,54
382,Splyce,3299842.51,410
192,Gambit Esports,3144287.52,184
760,San Francisco Shock,3105000,7
115,Team Empire,3084825,429
177,KT Rolster,2922370.01,219
181,Jin Air Green Wings,2765126.58,411
123,World Elite,2442343.31,210
427,Mineski,2434750.99,82
184,Flash Wolves,2386592.34,209
830,Ghost Gaming,2327629.7,174
385,ENCE eSports,2259312.39,213
337,Tempo Storm,2181650.14,412
848,Spacestation Gaming,2021600.64,174
283,COGnitive Gaming,2016138.32,164
221,MIBR,1923403,101
557,Rogue,1907665.94,201
103,Millenium,1822130.48,562
676,Dallas Empire,1797504.47,23
344,OMG,1784300.18,65
195,Epsilon eSports,1772279.91,242
285,Team DK,1769242.38,43
451,Echo Fox,1737629.59,337
209,HellRaisers,1651504.42,138
126,TyLoo,1611327.79,164
776,London Spitfire,1591136.5,13
768,New York Excelsior,1572618.5,18
213,Taipei Assassins,1529565.39,24
403,ahq e-Sports Club,1517072.64,87
141,CJ Entus,1502458.47,185
934,Team Reciprocity,1491429.86,82
24706,FunPlus Phoenix,1488729.97,24
338,Renegades,1486905.73,181
850,LeStream Esport,1431833.11,84
826,Rise Nation,1412612.5,80
763,Infamous,1370946.01,54
113,ALTERNATE aTTaX,1355613.15,406
802,Top Esports,1336062.17,23
267,ROX Gaming,1332698.26,75
657,North,1316961.35,86
131,Incredible Miracle,1312868.72,166
919,Keen Gaming,1283305.59,43
658,BIG,1273314.12,161
581,Russian National Team,1260218.44,26
172,Denial Esports,1241411.24,178
340,Qiao Gu Reapers,1220408.2,17
468,Afreeca Freecs,1218136.22,279
529,Misfits,1208104.47,175
205,PENTA Sports,1200865.03,265
24806,Atlanta Faze,1187500,14
773,Philadelphia Fusion,1186278.5,15
396,paiN Gaming,1168349.32,119
411,Immortals,1136165.15,119
766,Seoul Dynasty,1130000,6
322,Team Kinguin,1119008.47,119
