TeamId,TeamName,TotalUSDPrize,TotalTournaments
145,SK Telecom T1,7139771.24,46
144,Samsung,4252048.74,19
124,Invictus Gaming,4176617.93,65
343,Royal Never Give Up,3109363.51,26
118,Fnatic,2883801.44,73
311,EDward Gaming,2735906.7,41
256,G2 Esports,2423913.52,53
212,Cloud9,1845716.65,68
123,World Elite,1783573.42,62
196,Team SoloMid,1695975.02,77
213,Taipei Assassins,1529565.39,24
24706,FunPlus Phoenix,1351265.67,10
184,Flash Wolves,1302176.88,36
177,KT Rolster,1142290.13,40
802,Top Esports,1024395.86,9
267,ROX Gaming,979041.98,12
207,Counter Logic Gaming,951858.22,72
102,Team Liquid,900463.5,24
24703,DAMWON Gaming,873905.84,11
403,ahq e-Sports Club,840606.45,33
916,JD Gaming,836118.08,10
344,OMG,722072.89,28
342,Star Horn Royal Club,707196.07,25
795,DragonX,694398.74,14
305,NaJin e-mFire,616799.21,35
287,H2K,597032.96,20
227,LGD Gaming,512324.15,22
468,Afreeca Freecs,494452.56,14
192,Gambit Esports,493101.79,30
24667,Suning,466293.44,2
529,Misfits,433084.72,21
112,SK Gaming,421665.24,85
313,Origen,420582.91,15
141,CJ Entus,419505.27,31
183,AZUBU,399501.38,8
265,Unicorns of Love,385930.36,47
362,DetonatioN,375020.25,14
814,Gen.G,370848.41,10
485,Longzhu Gaming,347907.81,7
821,Griffin,340668.2,12
713,Marines Esports,340105.46,13
204,Moscow Five,338435.21,33
516,I May,335703.2,5
382,Splyce,311433.5,11
318,Snake Esports,306151.92,15
169,Vici Gaming,304346.61,12
193,Team LDLC.com,290534.04,41
251,Vitality,289676.3,19
132,MVP,278053.2,27
111,mousesports,267924.75,59
117,Team Dignitas,257562.2,46
24777,NASR eSports,252500,2
103,Millenium,248283.32,59
575,Albus NoX Luna,238702.5,3
440,Illuminar Gaming,238301.36,33
787,100 Thieves,237475,7
413,eSuba,237472.51,40
181,Jin Air Green Wings,218553.88,32
664,FlyQuest,215250,7
208,KaBuM! e-Sports,211740.9,28
442,EURONICS Gaming,210216.22,48
513,Schalke 04 Esports,207984.52,17
396,paiN Gaming,207841.84,31
531,Saigon Jokers,201934.86,25
236,Team Curse,198907.95,62
743,Kaos Latin Gamers,198769.35,14
544,INTZ eSports,197810.93,24
505,J Team,197654.1,15
719,GamersOrigin,195460.56,32
736,Young Miracles,193302,5
658,BIG,192775.71,24
414,Dark Passage,186871.49,23
744,Hong Kong Attitude,184521.78,17
745,Lyon Gaming,184012.05,16
797,Rogue Warriors,179599.62,5
24748,MAD Lions,177719.21,9
340,Qiao Gu Reapers,171577.28,7
416,Positive Energy,154778.03,8
131,Incredible Miracle,154615.32,26
341,Team King,152173.93,9
411,Immortals,151837,5
197,Copenhagen Wolves,150220.76,29
962,SinoDragon,146609.8,5
557,Rogue,136453.23,10
121,Radical Online X-tremists,134286.3,26
319,Vega Squadron,132273.23,14
268,Keyd Stars,130240.11,31
404,Bangkok Titans,129837.01,22
389,Maximum Impact Gaming,129499.39,4
793,Bilibili Gaming,125362.2,4
331,Giants Gaming,122226.08,35
682,Kuala Lumpur Hunters,119837.07,26
162,Ninjas in Pyjamas,119575.32,24
261,Alliance,115000,5
210,Newbee,112151.4,4
119,Meet Your Makers,110739.31,65
443,ESC Ever,110031.24,7
24780,EVOS,109233.82,5
373,LMQ,109112.01,8
398,CNB e-Sports Club,107540.5,26
